"ond_id","ond_tekst_filmtitel","org_naam_aanvrager","org_naam_fabriek","ond_tekst_lengte_meters","ond_tekst_smalfilm","ond_tekst_categorie","ond_datum_keuring","ond_tekst_weeklijstnummer","ond_tekst_oordeel","ond_tekst_coupures","ond_datum_herkeuring","ond_tekst_herkeuring_weeklijstnummer","ond_tekst_herkeuring_oordeel","ond_tekst_herkeuring_coupures","vwz_url_cinemacontext","vwz_archivelink","ond_UUID"
"16055","Fox Movietone Nieuws 31 Jrg.7.","Netherlands Fox Film Corp. NV (Amsterdam)","Fox (A)","295 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030068","NL-HaNA/2.04.60/605///Dossier A3256/","0b945194-7cc1-102d-a57f-005056a23d00"
"16056","Ufa Geluidsjournaal 100","UFA Film Maatschappij (Amsterdam)","Ufa (D)","181 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF047533","NL-HaNA/2.04.60/605///Dossier A3257/","0b945720-7cc1-102d-a57f-005056a23d00"
"16057","Paramount Sound Journaal 101","Paramount Films NV (Amsterdam)","Paramount (O)","290 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF047545","NL-HaNA/2.04.60/605///Dossier A3258/","0b945c02-7cc1-102d-a57f-005056a23d00"
"16058","Universal Nieuws 159","Croeze en Bosman NV (Amsterdam)","U.P.C. (A)","216 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030193","NL-HaNA/2.04.60/605///Dossier A3259/","0b9460bc-7cc1-102d-a57f-005056a23d00"
"16059","Cityfilm Geluidsjournaal A 9","City Film NV (Den Haag)","Pathé (F)","292 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF035148","NL-HaNA/2.04.60/605///Dossier A3260/","0b94667a-7cc1-102d-a57f-005056a23d00"
"16060","Bloemen","ICRO (Den Haag)","I.C.R.O. (N)","241 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023769","NL-HaNA/2.04.60/605///Dossier A3261/","0b946b70-7cc1-102d-a57f-005056a23d00"
"16061","Het zilveren Jubileum van Feyenoord","Triotone (Den Haag)","Triotone (N)","313 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023367","NL-HaNA/2.04.60/605///Dossier A3262/","0b94702a-7cc1-102d-a57f-005056a23d00"
"16062","Fox Movietone Nieuws 32 Jrg.7.","Netherlands Fox Film Corp. NV (Amsterdam)","Fox (A)","311 meter","nee","nonfictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030068","NL-HaNA/2.04.60/605///Dossier A3263/","0b9474f8-7cc1-102d-a57f-005056a23d00"
"16063","De Schoonheidskoningin","MGM Film NV","M.G.M. (A)","560 meter","nee","fictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF035535","NL-HaNA/2.04.60/605///Dossier A3264/","0b9479c6-7cc1-102d-a57f-005056a23d00"
"16064","Versche Visch","MGM Film NV","M.G.M. (A)","583 meter","nee","fictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF031816","NL-HaNA/2.04.60/605///Dossier A3265/","0b947f52-7cc1-102d-a57f-005056a23d00"
"16065","Stationneerende Taxi's","MGM Film NV","M.G.M. (A)","488 meter","nee","fictie","1933-08-14","259","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF046242","NL-HaNA/2.04.60/605///Dossier A3266/","0b94843e-7cc1-102d-a57f-005056a23d00"
"16066","Jaloezie per Taxi","MGM Film NV","M.G.M. (A)","504 meter","nee","fictie","1933-08-14","259","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF043855","NL-HaNA/2.04.60/605///Dossier A3267/","0b948916-7cc1-102d-a57f-005056a23d00"
"16067","Taxi-Misere","MGM Film NV","M.G.M. (A)","550 meter","nee","fictie","1933-08-14","259","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF046067","NL-HaNA/2.04.60/605///Dossier A3268/","0b948dee-7cc1-102d-a57f-005056a23d00"
"16068","Dat had je niet gedacht, hè?","MGM Film NV","M.G.M. (A)","537 meter","nee","fictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF036728","NL-HaNA/2.04.60/605///Dossier A3269/","0b9492da-7cc1-102d-a57f-005056a23d00"
"16069","Universal Nieuws 161","Croeze en Bosman NV (Amsterdam)","U.P.C. (A)","192 meter","nee","nonfictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030193","NL-HaNA/2.04.60/605///Dossier A3270/","0b9497bc-7cc1-102d-a57f-005056a23d00"
"16070","Ufa Geluidsjournaal 101","UFA Film Maatschappij (Amsterdam)","Ufa (D)","246 meter","nee","nonfictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF047533","NL-HaNA/2.04.60/605///Dossier A3271/","0b949cee-7cc1-102d-a57f-005056a23d00"
"16071","Geluidsjournaal Hollands Nieuws 31","Polygoon Filmfabriek NV (Haarlem)","Polygoon (N)","235 meter","nee","nonfictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030084","NL-HaNA/2.04.60/605///Dossier A3272/","0b94a1d0-7cc1-102d-a57f-005056a23d00"
